Student_ID,Class_Grade_ID,Discipline_ID,Aspiring_Profession,Subjects
08423978-1a04-4812-87ed-cd91cd8badb3,2,3,Scientist,"{'English', 'Maths', 'Civic Education', 'ICT', 'Physics', 'Chemistry', 'Biology', 'Dyeing and bleaching'}"
b8600009-f100-4a9f-97d5-6cc3b360e886,3,2,Entrepreneur,"{'English', 'Maths', 'Civic Education', 'ICT', 'Economics', 'Accounting', 'Commerce', 'Marketing', 'Electrical work'}"
37e4f765-abef-4149-b62e-b47ad0e27123,2,1,Brand Specialist,"{'English', 'Maths', 'Civic Education', 'ICT', 'Literature', 'Government/History', 'Religious Studies', 'Language (Yoruba, French, Igbo)', 'Dyeing and bleaching'}"
f930afaf-7b0a-4885-a857-4870074d8b0d,1,1,Writer,"{'English', 'Maths', 'Civic Education', 'ICT', 'Literature', 'Government/History', 'Religious Studies', 'Language (Yoruba, French, Igbo)', 'Dyeing and bleaching'}"
00a48c20-79d3-4a5a-bfa0-5d760089cd0b,3,3,Food Nutritionist,"{'English', 'Maths', 'Civic Education', 'ICT', 'Physics', 'Chemistry', 'Biology', 'Food Nutrition', 'Dyeing and bleaching'}"
f2031aa6-8c92-4f83-9fbc-d1ae14fb5d13,1,2,Auditor,"{'English', 'Maths', 'Civic Education', 'ICT', 'Economics', 'Accounting', 'Commerce', 'Marketing', 'Electrical work'}"
6230385b-d3d0-4197-8ddd-ab4925a8a47a,1,1,Artist,"{'English', 'Maths', 'Civic Education', 'ICT', 'Literature', 'Government/History', 'Religious Studies', 'Language (Yoruba, French, Igbo)', 'Electrical work'}"
b632f1c7-24e1-42c8-a470-e73625f39d83,1,1,Artist,"{'English', 'Maths', 'Civic Education', 'ICT', 'Literature', 'Government/History', 'Religious Studies', 'Language (Yoruba, French, Igbo)', 'Dyeing and bleaching'}"
cb1251d8-2d21-41a4-9e4a-6f03f1cbea66,1,2,Business Executive,"{'English', 'Maths', 'Civic Education', 'ICT', 'Economics', 'Accounting', 'Commerce', 'Marketing', 'Bookkeeping'}"
4e9ebb79-6cb8-48cf-8290-3b7f2054031b,2,2,Marketer,"{'English', 'Maths', 'Civic Education', 'ICT', 'Economics', 'Accounting', 'Commerce', 'Marketing', 'Electrical work'}"
